2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping13.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping13.fromHost = "GUI SHIFT P"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping13.toGuest = "GUI P"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping14.mappingKey = "14"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping14.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping14.fromHost = "GUI SHIFT V"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping14.toGuest = "GUI V"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping15.mappingKey = "15"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping15.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping15.fromHost = "GUI SHIFT X"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping15.toGuest = "GUI X"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping16.mappingKey = "16"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping16.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping16.fromHost = "GUI SHIFT Z"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping16.toGuest = "GUI Z"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping17.mappingKey = "17"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping17.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping17.fromHost = "Mouse1 Control"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping17.toGuest = "Mouse2"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping18.mappingKey = "18"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping18.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping18.fromHost = "Mouse1 GUI"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping18.toGuest = "Mouse3"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping19.mappingKey = "19"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping19.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping19.fromHost = "GUI CONTROL"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping19.toGuest = "Ungrab"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping20.mappingKey = "20"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping20.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping20.fromHost = "GUI CONTROL F"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping20.toGuest = "Fullscreen"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping21.mappingKey = "21"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping21.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping21.fromHost = "GUI SHIFT U"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping21.toGuest = "Unity"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping22.mappingKey = "22"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping22.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping22.fromHost = "GUI CONTROL S"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping22.toGuest = "SingleWindow"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping23.mappingKey = "23"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping23.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping23.fromHost = "GUI 0x029"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping23.toGuest = "CycleWindow"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping24.mappingKey = "24"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping24.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping24.fromHost = "GUI SHIFT 0x029"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping24.toGuest = "CycleWindowReverse"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping25.mappingKey = "25"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping25.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping25.fromHost = "GUI H"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping25.toGuest = "HideApplication"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping26.mappingKey = "26"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping26.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping26.fromHost = "GUI M"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping26.toGuest = "MinimizeWindow"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping27.mappingKey = "27"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping27.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping27.fromHost = "GUI Q"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping27.toGuest = "Quit"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping28.mappingKey = "28"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping28.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping28.fromHost = "GUI ALT SHIFT M"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping28.toGuest = "ToggleHideMenu"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping29.mappingKey = "29"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping29.enabled = "FALSE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping29.fromHost = "GUI E"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping29.toGuest = "Settings"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile2.profileKey = "5298d7c8-8f11-6dd3-21f0-c299fe42e429"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile2.profileName = "Profile"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile2.profileType = "standard"
